variable_name,category,description,data_type,encoding_or_allowed_values,public_release_note
respondent_id,Identifier,Synthetic participant identifier; does not correspond to any institutional ID.,String,Anonymous ID assigned after preprocessing.,Contains no direct personal identifiers; derived from anonymized preprocessing.
age_range,Demographic,Binned student age range.,Categorical,"16-18, 19-20, 21-22, 23-25, 26+, Unknown.",Contains no direct personal identifiers; derived from anonymized preprocessing.
gender,Demographic,Standardized gender category.,Categorical,"Male, Female.",Contains no direct personal identifiers; derived from anonymized preprocessing.
need_anxiety_management,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
need_stress_reduction,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
need_depression_low_mood,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
need_self_esteem_issues,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
need_university_adaptation_difficulty,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
need_fear_of_failure_academic_pressure,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
need_sleep_problems,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
need_personal_problems,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
need_social_skills_support,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
need_time_organization_task_management,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
need_no_emotional_support,Other,Transformed analytical feature included in the anonymized dataset.,float64,See manuscript methods.,Contains no direct personal identifiers; derived from anonymized preprocessing.
psych_support_interest_ord,Help-seeking attitude,Ordinal indicator of interest in psychological support.,Ordinal,Simplified ordinal scheme depending on the questionnaire item.,Contains no direct personal identifiers; derived from anonymized preprocessing.
time_management_difficulty_ord,Academic difficulty,Ordinal indicator of difficulty managing time.,Ordinal,Variable-dependent ordinal coding preserving order.,Contains no direct personal identifiers; derived from anonymized preprocessing.
exam_or_public_speaking_anxiety_ord,Emotional distress,Ordinal indicator of anxiety in exams or public speaking.,Ordinal,Variable-dependent ordinal coding preserving order.,Contains no direct personal identifiers; derived from anonymized preprocessing.
thoughts_of_giving_up_ord,Academic disengagement,Ordinal indicator of thoughts of giving up.,Ordinal,Variable-dependent ordinal coding preserving order.,Contains no direct personal identifiers; derived from anonymized preprocessing.
errors_define_value_ord,Cognitive-emotional patterns,Ordinal indicator of whether mistakes are perceived as defining personal value.,Ordinal,Variable-dependent ordinal coding preserving order.,Contains no direct personal identifiers; derived from anonymized preprocessing.
social_support_ord,Social support,Ordinal indicator of perceived emotional/social support.,Ordinal,Variable-dependent ordinal coding preserving order.,Contains no direct personal identifiers; derived from anonymized preprocessing.
difficulty_expressing_emotions_ord,Emotional expression,Ordinal indicator of difficulty expressing emotions.,Ordinal,Variable-dependent ordinal coding preserving order.,Contains no direct personal identifiers; derived from anonymized preprocessing.
social_isolation_ord,Social behavior,Ordinal indicator of social isolation tendency.,Ordinal,Variable-dependent ordinal coding preserving order.,Contains no direct personal identifiers; derived from anonymized preprocessing.
wants_academic_guidance,Support needs,Interest in academic guidance.,Binary,"0 = No, 1 = Yes.",Contains no direct personal identifiers; derived from anonymized preprocessing.
knows_institutional_resources,Institutional awareness,Awareness of institutional support resources.,Binary,"0 = No, 1 = Yes.",Contains no direct personal identifiers; derived from anonymized preprocessing.
self_satisfaction_score,Self-perception,Likert-based self-perception satisfaction scale.,Ordinal/Likert,Likert-based scale preserving the original response order.,Contains no direct personal identifiers; derived from anonymized preprocessing.
frequent_social_comparison,Comparative perception,Frequent social comparison response.,Categorical/Binary with explicit missing category,"Yes, No, No response.",Contains no direct personal identifiers; derived from anonymized preprocessing.
previous_professional_help,Prior engagement,Previous professional help response.,Categorical/Binary with explicit missing category,"Yes, No, No response.",Contains no direct personal identifiers; derived from anonymized preprocessing.
risk_level,Derived label,Non-clinical risk classification generated through rule-based aggregation.,Categorical,"stable, moderate, severe, critical.",Contains no direct personal identifiers; derived from anonymized preprocessing.
